shortname,pi,pi_unc,pi_ref,Lbol,Lbol_unc,age,radius,radius_unc,logg,logg_unc,teff,teff_unc,mass,mass_unc
0000+2554,70.8,1.9,1,-4.68,0.02,0.500-10.00,0.99,0.15,5.02,0.47,1227,95,47.56,26.76
0003-2822,25.7,0.93,2,-2.95,0.03,0.500-10.00,1.32,0.05,5.18,0.05,2871,76,106.97,9.15
0004-4044BC,77.02,2.07,3,-3.78,0.02,0.500-10.00,,,,
0004-6410,17,1,4,-3.49,0.06,0.010-0.040,1.63,0.06,4.25,0.18,1896,77,19.18,6.41
0024-0158,86.6,4,5,-3.44,0.04,0.500-10.00,1.09,0.05,5.22,0.10,2390,80,79.27,11.13
0025+4759,22.8,0.9,2,-3.33,0.04,0.500-10.00,,,,
0027+0503,13.8,1.6,6,-3.55,0.10,0.010-0.150,1.44,0.23,4.48,0.43,1945,195,31.35,19.44
0027+2219,69.6,0.9,1,-2.83,0.01,0.500-10.00,,,,
0030-1450,37.42,4.5,7,-4.37,0.11,0.500-10.00,0.98,0.10,5.10,0.31,1466,117,53.55,21.14
0033-1521,24.8,2.5,8,-3.61,0.09,0.010-0.150,1.43,0.22,4.47,0.42,1887,175,29.05,18.53
0034+0523,105.4,7.5,9,-5.27,0.06,0.500-10.00,0.94,0.16,4.97,0.49,899,82,42.13,26.46
0036+1821,114.2,0.8,6,-3.93,0.01,0.500-10.00,1.01,0.07,5.21,0.17,1869,64,66.07,12.98
0039+2115,90.42,0.32,1,-5.56,0.01,4.000-10.00,0.86,0.07,5.16,0.24,793,35,46.96,14.34
0045+1634,57.3,2,8,-3.41,0.03,0.030-0.050,1.62,0.06,4.35,0.22,1987,53,22.71,7.95
0047+6803,82,3,10,-4.44,0.03,0.050-0.120,1.30,0.04,4.24,0.13,1227,30,12.13,2.97
0050-3322,94.6,2.4,11,-5.39,0.02,0.500-10.00,0.94,0.16,4.95,0.49,836,71,40.34,25.54
0058-0651,33.8,4,12,-3.63,0.10,0.010-0.150,1.43,0.22,4.46,0.43,1864,182,29.23,18.09
0102-3737,81.95,2.73,13,-3.20,0.03,0.500-10.00,1.17,0.04,5.22,0.07,2636,67,90.28,9.22
0103+1935,46.9,7.6,9,-4.41,0.14,0.010-0.150,1.34,0.13,4.18,0.45,1231,117,15.07,10.69
0107+0041,64.13,4.51,7,-4.47,0.06,0.500-10.00,0.98,0.11,5.11,0.37,1385,89,52.41,23.34
0112+1703,20.83,2.17,14,-4.87,0.10,0.050-0.120,1.24,0.04,4.17,0.17,981,57,9.84,2.99
0117-3403,20,3,4,-3.48,0.13,0.010-0.040,1.62,0.11,4.26,0.20,1917,159,19.85,7.54
0141-4633,25,3,4,-3.48,0.10,0.010-0.040,1.61,0.10,4.25,0.19,1917,130,19.57,7.04
0151+1244,46.73,3.37,7,-4.74,0.06,0.500-10.00,0.97,0.16,5.02,0.48,1196,108,47.11,27.12
0207+0000,29.3,4,15,-4.73,0.12,0.500-10.00,0.97,0.17,5.02,0.48,1201,132,47.08,27.48
0210-3015,32,8,4,-3.84,0.22,0.010-0.040,1.53,0.09,4.16,0.22,1598,205,14.59,7.03
0234-6442,21,5,4,-3.54,0.21,0.010-0.040,1.62,0.11,4.25,0.22,1850,231,19.56,8.49
0241-0326,21.4,2.6,8,-3.72,0.11,0.010-0.150,1.41,0.21,4.44,0.43,1788,171,27.35,17.05
0243-2453,93.6,3.63,7,-5.13,0.03,0.500-10.00,0.94,0.16,4.99,0.47,972,83,43.59,26.41
0248-1651,61.6,5.4,16,-3.46,0.08,0.500-10.00,1.08,0.06,5.22,0.11,2365,125,78.26,12.51
0251+0047,20.5,2.2,17,-3.02,0.09,0.500-10.00,1.28,0.09,5.20,0.06,2811,180,102.13,13.54
0253+1652,268,37,18,-3.15,0.12,0.500-10.00,1.20,0.09,5.22,0.07,2688,212,93.64,14.47
0253+3206,17.7,2.5,4,-2.79,0.12,0.010-0.150,1.90,0.45,4.49,0.52,2628,362,65.10,47.55
0254+0223,166,26,19,-5.88,0.14,0.500-10.00,0.97,0.17,4.75,0.59,621,73,31.22,23.15
0255-4700,201.37,3.89,20,-4.61,0.02,0.500-10.00,0.97,0.12,5.09,0.40,1290,78,49.92,24.80
0318-3421,72.9,7.7,9,-4.54,0.09,0.500-10.00,0.97,0.12,5.05,0.36,1344,107,48.98,24.02
0320+1854,68.9,0.6,6,-3.25,0.01,0.500-10.00,1.15,0.04,5.22,0.07,2586,42,87.60,8.11
0323-4631,17,3,4,-3.34,0.15,0.010-0.040,1.66,0.15,4.29,0.24,2039,203,23.11,9.97
0325+0425,55.55,10.93,9,-5.04,0.17,0.500-10.00,0.95,0.17,5.00,0.50,1015,134,44.61,27.91
0326-2102,41,1,4,-4.23,0.03,0.050-0.120,1.30,0.07,4.39,0.21,1381,42,18.40,6.46
0328+2302,33.13,4.2,7,-4.37,0.11,0.500-10.00,0.98,0.10,5.13,0.35,1466,121,54.42,22.25
0334-4953,120.6,3.6,9,-3.64,0.03,0.500-10.00,1.04,0.06,5.22,0.13,2173,71,72.89,11.87
0339-3525,155.89,1.03,3,-3.56,0.01,0.010-0.150,1.43,0.21,4.48,0.41,1942,144,29.53,16.87
0345+2540,37.1,0.5,6,-3.60,0.01,0.500-10.00,1.05,0.05,5.22,0.12,2213,60,74.14,11.27
0351-0052,68.1,1.9,21,-3.02,0.02,0.500-10.00,1.27,0.04,5.19,0.05,2810,60,101.58,8.57
0355+1133,110.8,4.3,8,-4.10,0.03,0.050-0.120,1.32,0.09,4.45,0.21,1478,57,19.98,7.76
0357-4417,18,5,4,-3.09,0.24,0.010-0.040,,,,
0415-0935,175.2,1.7,11,-5.74,0.01,0.500-10.00,0.95,0.16,4.83,0.51,677,56,32.99,21.87
0423-0414,65.9,1.7,18,-4.18,0.02,0.500-10.00,,,,
0428-2253,38.48,1.85,3,-3.43,0.04,0.500-10.00,1.09,0.05,5.22,0.10,2400,83,79.61,11.15
0435-1606,95.35,1.06,3,-3.04,0.01,0.500-10.00,1.26,0.03,5.19,0.05,2795,39,100.44,7.63
0436-4114,23,6,4,-2.88,0.23,0.010-0.040,1.97,0.39,4.30,0.33,2445,403,39.00,23.17
0439-2353,110.4,4,9,-4.61,0.03,0.500-10.00,0.97,0.12,5.04,0.37,1290,82,48.01,23.41
0443+0002,40,4,4,-3.13,0.09,0.012-0.022,1.78,0.12,4.19,0.13,2230,134,21.99,5.76
0445-3048,78.5,4.9,9,-3.99,0.05,0.500-10.00,1.00,0.08,5.19,0.20,1809,90,63.80,15.00
0451-3402,47.46,1.51,3,-3.66,0.03,0.500-10.00,1.04,0.06,5.22,0.13,2155,72,72.38,12.00
0500+0330,73.85,1.98,3,-4.01,0.02,0.500-10.00,1.00,0.08,5.20,0.19,1793,72,63.68,14.44
0501-0010,51,3.7,8,-3.97,0.06,0.010-0.150,1.38,0.18,4.36,0.41,1560,118,21.44,13.70
0516-0445,44.5,6.5,9,-4.72,0.13,0.500-10.00,0.97,0.17,5.02,0.48,1211,137,47.18,27.53
0523-1403,80.95,1.76,3,-3.86,0.02,0.500-10.00,1.01,0.07,5.21,0.16,1939,68,67.54,12.79
0539-0058,76.12,2.17,7,-4.15,0.02,0.500-10.00,0.99,0.08,5.18,0.22,1659,74,60.74,15.43
0559-1404,96.6,1,1,-4.59,0.01,0.500-10.00,0.97,0.11,5.09,0.39,1301,75,50.44,24.33
0602+3910,88.5,1.6,4,-3.65,0.02,0.010-0.150,1.41,0.20,4.46,0.41,1854,134,27.61,15.84
0608-2753,32,3.6,9,-3.34,0.10,0.010-0.150,1.51,0.27,4.51,0.46,2145,228,37.80,24.23
0610-2152B,173.81,0.99,2,-5.21,0.01,0.500-10.00,0.94,0.15,4.98,0.48,927,77,42.64,25.95
0611-0410AB,47.25,3.22,22,-4.38,0.06,0.500-10.00,,,,
0619-5803b,21.71,0.69,2,-3.75,0.05,0.010-0.040,1.55,0.05,4.19,0.17,1674,53,15.31,4.70
0624-4521,83.9,4.5,9,-4.33,0.05,0.500-10.00,0.99,0.10,5.14,0.27,1501,85,56.04,18.52
0641-4322,55.7,5.7,23,-3.87,0.09,0.500-10.00,1.01,0.07,5.20,0.18,1927,120,66.67,14.68
0652-2534,63.76,0.94,3,-3.59,0.01,0.500-10.00,1.05,0.05,5.22,0.12,2231,60,74.67,11.18
0700+3157,82,2,24,-3.79,0.02,0.500-10.00,,,,
0707-4900,54.1,4.5,16,-3.66,0.07,0.500-10.00,1.03,0.07,5.22,0.14,2151,114,72.07,13.30
0722-0540,242.8,2.4,25,-6.02,0.02,0.500-10.00,0.98,0.16,4.68,0.53,569,45,26.11,18.14
0727+1710,112.5,0.9,1,-5.37,0.01,0.500-10.00,0.94,0.16,4.95,0.49,845,71,40.55,25.40
0729-3954,126.3,8.3,9,-5.57,0.06,0.500-10.00,0.94,0.16,4.89,0.52,752,69,37.44,24.97
0742+2055,66.5,8.6,9,-5.15,0.11,0.500-10.00,0.94,0.16,4.98,0.49,958,102,43.43,27.17
0746+2000,81.84,0.3,3,-3.39,0.00,0.500-10.00,,,,
0751-2530,59.15,0.84,3,-3.73,0.01,0.500-10.00,1.03,0.06,5.22,0.14,2083,64,70.69,12.01
0752+1612,54.37,1,26,-2.67,0.02,0.010-0.150,2.01,0.35,4.48,0.51,2731,242,67.67,46.32
0817-6155,203,13,27,-5.07,0.06,0.500-10.00,0.94,0.16,5.00,0.48,1004,91,44.20,26.71
0825+2115,93.8,1,6,-4.53,0.01,0.500-10.00,0.98,0.11,5.11,0.37,1341,73,51.98,23.13
0829+2646,275.8,3,17,-3.08,0.01,0.500-10.00,1.23,0.03,5.20,0.05,2752,39,97.35,7.72
0830+0128,43.1,6.1,9,-4.83,0.12,0.500-10.00,0.96,0.17,5.02,0.48,1138,129,46.42,27.59
0830+0947,59.81,4.52,20,-3.24,0.07,0.500-10.00,1.15,0.06,5.22,0.08,2599,119,88.22,11.28
0830+4828,76.42,3.43,7,-4.63,0.04,0.500-10.00,0.99,0.15,5.02,0.47,1258,97,48.00,26.69
0835-0819,117.3,11.2,23,-4.05,0.08,0.500-10.00,1.00,0.08,5.19,0.21,1754,112,62.47,15.86
0847-1532,76.5,3.5,9,-4.01,0.04,0.500-10.00,1.00,0.08,5.19,0.20,1794,81,63.55,14.79
0853-0329,117.98,0.76,3,-3.50,0.01,0.500-10.00,1.07,0.05,5.22,0.11,2320,52,77.36,10.41
0859-1949,65.4,6.1,9,-4.49,0.08,0.500-10.00,0.98,0.11,5.06,0.35,1374,100,50.29,23.10
0912+1459,48.8,0.92,18,-4.32,0.02,0.600-3.400,,,,
0920+3517,34.4,0.8,1,-4.08,0.02,0.500-10.00,,,,
0937+2931,163.39,1.76,28,-5.30,0.01,0.500-10.00,0.94,0.16,4.97,0.48,881,74,41.56,25.72
0939-2448,187.3,4.6,29,-5.72,0.02,0.500-10.00,0.95,0.16,4.84,0.52,686,58,33.67,22.45
0949-1545,55.3,6.6,9,-4.86,0.10,0.500-10.00,0.96,0.17,5.01,0.49,1125,119,46.29,27.48
1004+5022,41,4.1,8,-3.75,0.09,0.025-0.300,1.36,0.23,4.54,0.46,1789,176,32.41,20.79
1007-4555,71,5.2,9,-5.04,0.06,0.500-10.00,0.94,0.16,5.01,0.48,1017,94,44.44,26.77
1010-0406,59.8,8.1,9,-4.44,0.12,0.500-10.00,0.98,0.11,5.07,0.34,1416,123,51.16,23.06
1017+1308,30.2,1.4,11,-3.44,0.04,0.500-10.00,,,,
1021-0304,34.4,4.6,30,-4.48,0.12,0.500-10.00,,,,
1022+4114,25.36,0.31,2,-3.63,0.02,0.500-10.00,1.04,0.06,5.22,0.13,2183,65,73.21,11.58
1022+5825,54.3,2.5,4,-3.69,0.04,0.010-0.150,1.41,0.20,4.45,0.41,1820,138,27.20,15.97
1036-3441,61.5,9.1,9,-4.51,0.13,0.500-10.00,0.97,0.12,5.04,0.37,1368,131,49.24,24.45
1047+2124,94.7,3.81,7,-5.30,0.04,0.500-10.00,0.94,0.16,4.96,0.49,880,76,41.61,26.03
1048-3956,248.08,0.61,31,-3.51,0.00,0.500-10.00,1.07,0.05,5.22,0.11,2307,51,77.00,10.37
1049-3519A,514,26,32,-4.51,0.04,0.500-3.000,1.01,0.07,4.99,0.26,1334,58,43.10,14.99
1049-3519B,514,26,32,-4.61,0.04,0.500-3.000,1.02,0.07,4.95,0.27,1261,55,39.84,15.58
1056+0700,419.1,2.1,17,-3.03,0.00,0.500-10.00,1.56,0.10,5.19,0.05,2517,81,100.70,7.22
1058-1548,57.7,1,6,-3.99,0.02,0.500-10.00,1.00,0.07,5.20,0.19,1809,68,64.24,14.01
1102-3430,18.1,0.5,33,-2.56,0.02,0.008-0.020,2.39,0.14,4.14,0.15,2670,86,35.91,10.71
1110+0116,52.1,1.2,1,-4.97,0.02,0.050-0.120,1.24,0.04,4.15,0.16,926,18,8.98,2.29
1112+3548,46.04,0.9,9,-3.88,0.02,0.080-0.300,,,,
1114-2618,179.2,1.4,1,-5.76,0.01,0.500-10.00,0.96,0.16,4.82,0.51,669,55,32.53,21.58
1139-3159,23.82,2.58,34,-2.71,0.09,0.008-0.020,2.20,0.22,4.13,0.16,2552,188,30.05,11.29
1146+2230,36.8,0.8,6,-3.56,0.02,0.500-10.00,,,,
1154-3400,25.3,1.7,4,-3.34,0.06,0.010-0.150,1.50,0.26,4.51,0.45,2155,200,36.86,23.01
1155-3727,104.4,4.7,9,-4.01,0.04,0.500-10.00,1.00,0.08,5.19,0.20,1793,80,63.54,14.78
1207-3900,15,3,4,-3.39,0.18,0.008-0.020,1.71,0.09,4.16,0.10,1961,204,17.28,4.59
1207-3932,19.1,0.4,35,-2.60,0.02,0.008-0.020,,,,
1207-3932A,19.1,0.4,35,-2.61,0.02,0.008-0.020,2.33,0.14,4.14,0.15,2637,85,33.43,10.11
1207-3932B,19.1,0.4,35,-4.77,0.07,0.008-0.020,1.36,0.02,3.75,0.10,994,41,4.81,1.38
1217-0311,90.8,2.2,30,-5.29,0.02,0.500-10.00,0.94,0.16,4.97,0.49,885,75,41.70,25.90
1225-2739,75.1,2.5,18,-4.87,0.03,0.500-10.00,,,,
1228-1547,49.4,1.9,6,-3.91,0.03,0.500-10.00,,,,
1237+6526,96.07,4.78,7,-5.36,0.04,0.500-10.00,0.94,0.16,4.95,0.50,851,74,40.85,25.96
1239+5515,42.4,2.1,1,-3.84,0.04,0.500-10.00,,,,
1245-4429,12.66,2.07,34,-2.91,0.15,0.008-0.020,2.00,0.23,4.13,0.15,2391,249,25.41,9.17
1254-0122,84.9,1.9,6,-4.69,0.02,0.500-10.00,0.98,0.15,5.02,0.47,1219,94,47.44,26.78
1300+1221,85.54,1.53,9,-5.54,0.02,0.010-10.00,1.06,0.28,4.44,0.97,721,94,32.10,30.00
