shortname,B,F110W,FUV,H,I,J,K,Ks,L,M,NUV,R,U,V,W1,W2,W3,W4,Y,[24],[3.6],[4.5],[5.8],[8.0],[8],g,i,r,u,y,z
0000+2554,,,,14.7355,,14.8965,14.82,14.836,13.03,13.28,,,,,14.211,13.605,10.282,8.831,15.81,,13.72,13.07,12.56,,12.5,25.855,23.141,25.773,25.634,,18.455
0003-2822,,,,12.376,,13.068,,11.972,,,,,,,11.671,11.502,10.971,9.017,,,,,,,,,,,,,
0004-4044BC,,,,12.055,16.76,13.109,,11.396,,,,19.24,,22.77,10.751,10.488,9.868,9.089,,,10.36,10.47,10.14,,10.13,,,,,,
0004-6410,,,,14.831,,15.786,,14.01,,,,,,,13.37,12.937,12.178,9.161,,,,,,,,,,,,,
0024-0158,,,,11.092,15,11.861,10.53,10.539,9.78,,,17.45,,20.01,10.166,9.9,9.412,8.797,,,9.94,9.91,9.72,,9.55,21.06991,16.18216,18.67696,22.51981,,14.36983
0025+4759,,,,13.667,,14.84,,12.902,,,,,,,11.74,11.572,11.215,9.552,,,,,,,11.485,,,,,,
0027+0503,,,,15.288,,16.189,,14.964,,,,,,,14.618,14.071,12.509,9.056,,,,,,,,22.80589,20.21885,22.02411,23.33056,,18.5298
0027+2219,,,,9.967,,10.614,,9.569,,,,,,,9.306,9.054,8.789,8.653,,,,,,,,18.976,14.387,17.284,22.183,,12.715
0030-1450,,,,15.3215,,16.334,14.49,14.481,,,,,,,13.657,13.263,12.275,9.149,,,,,,,,,,,,,
0033-1521,,,,14.208,,15.244,,13.488,,,,,,,12.801,12.479,11.888,8.879,,,12.54,12.48,12.21,,12.04,,,,,,
0034+0523,,,,15.4965,,15.3225,15.96,16.243,13.3,12.66,,,,,15.061,12.52,11.302,8.807,16.213,,14.1,12.58,13.08,,12.25,,,,,,
0036+1821,,,,11.614,15.92,12.383,11.04,11.058,10.08,10.35,,18.32,,21.43,10.536,10.245,9.851,8.169,,,10.19,10.24,10.1,,10.06,22.52455,17.17989,19.69098,24.68838,,15.21735
0039+2115,,,,16.6905,,16.4525,16.86,16.734,,,,,,,,,,,17.22,,15.38,13.62,14.04,,13.45,,,,,,
0045+1634,,,,12.059,,13.059,,11.37,,,,,,,10.768,10.393,9.735,8.424,,,,,,,,23.96664,17.77482,20.26694,24.26569,,15.78782
0047+6803,,,,13.97,,15.6,,13.05,,,,,,,11.9,11.25,10.14,8.42,,,,,,,,,,,,,18.72
0050-3322,,,,15.939,,15.789,15.91,15.241,,,,,,,15.54,13.55,11.9,8.838,16.798,,14.82,13.57,13.32,,13,,,,,,
0058-0651,,,,13.444,,14.311,,12.904,,,,,,,12.562,12.248,11.692,8.739,,,,,,,,,,,,,
0102-3737,,,,10.479,13.857,11.1475,,10.0495,,,,16.3,,18.53,,,,,,,9.64,9.62,9.52,,9.48,,,,,,
0103+1935,,,,14.897,,16.288,,14.149,,,,,,,13.178,12.696,12.234,8.29,,,,,,,,24.97685,21.53263,24.01519,25.43229,,18.989
0107+0041,,,,14.536,,15.787,13.58,13.709,12.06,,,,,,12.686,12.174,11.454,8.881,,,,,,,,25.15302,21.07144,24.02882,24.85016,,18.66968
0112+1703,,,,17.7,,18.12,17.4,,,,,,,,17.17,15.41,12.396,8.505,19.4,,,,,,,,25.28,,,,21.75
0117-3403,,,,14.209,18.825,15.178,,13.49,,,,21.04,,,13.028,12.623,11.802,9.215,,,,,,,,,,,,,
0141-4633,,,,13.875,,14.798,12.921,13.1,,,,,,,12.551,12.17,11.921,9.243,,,12.36,12.17,11.95,,11.68,,,,,,
0151+1244,,17.26,,15.5715,,16.408,15.18,15.183,13.54,17.035,,,,,14.586,13.894,12.476,8.711,,,14.06,13.91,13.62,,13.34,25.06652,22.70413,24.41431,24.67359,,19.37656
0207+0000,,17.84,,16.593,,16.7745,16.71,15.412,,18.385,,,,,16.388,15.073,12.836,9.043,17.94,,15.59,14.98,14.67,,14.17,25.637,25.043,24.497,26.289,,20.04
0210-3015,,,,14.161,,15.066,,13.5,,,,,,,13.003,12.652,11.934,9.355,,,,,,,,,,,,,
0234-6442,,,,14.442,,15.325,,13.85,,,,,,,13.247,12.905,12.619,9.494,,,,,,,,,,,,,
0241-0326,,,,14.811,,15.799,,14.035,,,,,,,13.638,13.256,12.766,9,,,13.39,13.24,13.04,,12.77,24.95762,20.50441,22.54184,24.54752,,18.5997
0243-2453,,16.23,,15.137,,15.381,,15.216,,17.62,,,,,14.67,12.923,11.557,9.247,,,13.9,12.95,12.71,,12.27,,,,,,
0248-1651,,,,11.841,15.27,12.5255,11.45,11.422,,,,17.7,,19.97,11.171,10.984,10.797,9.014,,,,,,,,20.75644,16.29067,19.00223,25.71281,,14.64396
0251+0047,,,,13.104,,13.773,,12.681,,,,,,,12.413,12.166,12.141,8.688,,,,,,,,22.39756,17.66612,20.55591,23.69391,,15.94571
0253+1652,,,,7.883,10.65,8.394,,7.585,,,,13.03,,15.14,7.322,7.057,6.897,6.718,,,7.12,7.1,7.05,,7.02,,,,,,
0253+3206,,,,12.931,,13.616,,12.55,,,,,,,12.324,12.127,11.808,8.509,,,12.17,12.12,12.12,,12.01,20.79033,16.79651,19.09844,22.64186,,15.4661
0254+0223,,,,15.884,,16.557,,16.006,,,,,,,15.76,12.74,11.49,9.44,,,,,,,,,,,,,
0255-4700,,,,12.204,,13.246,,11.558,,,,,,,10.725,10.171,9.163,8.684,,,10.29,10.2,9.89,,9.61,,,,,,
0318-3421,,,,14.346,,15.569,,13.507,,,,,,,12.619,12.126,11.034,9.729,,,,,,,,,,,,,
0320+1854,,,,11.066,,11.759,,10.639,,,,,,,10.347,10.148,9.874,9.087,,,,,,,,19.9411,15.67256,18.15609,21.32092,,13.98785
0323-4631,,,,14.321,,15.389,,13.7,,,,,,,13.075,12.665,11.939,9.18,,,12.84,12.68,12.48,,12.16,,,,,,
0325+0425,,,,16.25,,15.9,16.47,,,,,,,,15.893,13.783,12.446,9.091,17.23,,15.038,13.776,,,,25.25,23.59,25.24,25.59,,19.75
0326-2102,,,,14.793,,16.134,,13.922,,,,,,,12.95,12.435,12.173,9.663,,,,,,,,,,,,,
0328+2302,,,,15.5085,,16.5215,14.87,14.916,13.33,,,,,,14.152,13.603,12.412,8.824,,,,,,,,,,,,,
0334-4953,,,,10.823,,11.376,,10.392,,,,,,,10.084,9.726,9.29,8.759,,,,,,,,,,,,,
0339-3525,,,,9.9985,14.01,10.7025,9.53,9.549,8.72,,,16.39,,18.7,9.133,8.808,8.272,7.997,,,8.87,8.79,8.59,,8.42,,,,,,
0345+2540,,,,13.2055,,13.9185,12.66,12.672,12.01,,,,,,12.349,12.093,12.135,8.898,,,,,,,,,,,,,
0351-0052,,,,10.5695,13.8,11.271,10.15,10.232,,,,16.08,,18.11,9.968,9.758,9.587,8.604,,,,,,,,19.00274,14.72488,17.28765,22.38,,13.28283
0355+1133,,,,12.53,,14.05,,11.53,,,,,,,10.528,9.943,9.294,8.317,,,,,,,9.427,24.82263,19.26252,21.76513,24.69322,,17.21609
0357-4417,,,,13.531,,14.367,,12.91,,,,,,,12.475,12.086,11.6,9.318,,,12.21,12.08,11.86,,11.65,,,,,,
0415-0935,,16.47,,15.6185,,15.5075,15.83,15.429,13.28,16.17666667,,,,,15.108,12.261,11.132,8.638,,,14.1,12.29,12.87,,12.11,,23.45,,,,19.4
0423-0414,,15.28,,13.463,,14.36733333,12.96,12.8175,11.45,14.06666667,,,,,12.176,11.578,10.569,8.987,15.41,,11.73,11.58,11.3,,11.01,25.37795,20.16551,22.76358,25.72467,,17.299465
0428-2253,,,,12.668,16.797,13.479,,12.045,,,,19.18,,21.68,11.707,11.47,11.057,8.622,,,,,,,,,,,,,
0435-1606,,,,9.779,13.08,10.406,,9.352,,,,15.49,,17.67,9.081,8.852,8.522,8.443,,,,,,,,,,,,,
0436-4114,,,,12.43,,13.097,,12.0515,,,,,,,11.74,11.46,11.111,9.184,,,,,,,,,,,,,
0439-2353,,,,13.409,,14.408,,12.816,,,,,,,12.039,11.678,11.116,8.978,,,,,,,11.276,,,,,,
